Name of TPS,Installed Capacity (MW),CIL,SSCL,Captive,E-Auction,Import,Others,Total,Total Consumption,Closing Stocks,Month,Year,SCCL
SVPL TPP,63.0,4.6122,0,0,0.0,0.0,2.6682,7.2804,24.854,42.17,9,2025,
TAMNAR TPP,2400.0,487.535,0,710.7,0.0,0.0,0.0,1198.2350000000001,1265.627,566.003,9,2025,
TROMBAY TPS,750.0,0,0,0,0.0,197.45958,0.0,197.45958,174.19,120.98,9,2025,
UCHPINDA TPP,1440.0,384.449,0,0,0.0,0.0,0.0,384.449,487.316,1328.18,9,2025,
UKAI TPS,1110.0,357.166,0,0,0.0,0.0,0.0,357.166,318.359,362.3,9,2025,
Vedanta Ltd Chhattisgarh TPP,600.0,0,0,0,81.99892,0.0,19.05094,101.04986,53.703,134.88,9,2025,
VINDHYACHAL STPS,4760.0,1839.02,0,0,0.0,0.0,0.0,1839.02,1942.266,633.32,9,2025,
WANAKBORI TPS,2270.0,416.911,0,0,0.0,0.0,0.0,416.911,366.902,716.69,9,2025,
WARDHA WARORA TPP,540.0,79.36,0,0,0.0,0.0,5.65,85.01,218.62,125.33,9,2025,
ADANI POWER LIMITED UDUPI TPP,1200.0,0,0,0,0.0,120.129,0.0,120.129,199.868,74.59,9,2025,
BELLARY TPS,1700.0,0,0,297.20141,0.0,31.90696,0.0,329.10837000000004,384.239,279.51669999999996,9,2025,
BHADRADRI TPP,1080.0,0,363.267,0,0.0,0.0,0.0,363.267,285.612,185.127,9,2025,
DAMODARAM SANJEEVAIAH TPS,2400.0,704.20195,0,0,0.0,0.0,0.0,704.20195,712.35,63.32,9,2025,
Dr. N.TATA RAO TPS,2560.0,732.461,87.756,0,0.0,0.0,0.0,820.217,852.298,420.62,9,2025,
ITPCL TPP,1200.0,0,0,0,0.0,28.5429,0.0,28.5429,211.066,313.61,9,2025,
KAKATIYA TPS,1100.0,0,135.077,184.182,0.0,0.0,0.0,319.259,357.004,162.127,9,2025,
KOTHAGUDEM TPS (NEW),1000.0,0,177.568,0,0.0,0.0,0.0,177.568,304.56,266.272,9,2025,
KOTHAGUDEM TPS (STAGE-7),800.0,0,184.667,0,0.0,0.0,0.0,184.667,236.432,85.955,9,2025,
KUDGI STPP,2400.0,161.47,12.44,7.09,0.0,0.0,8.31,189.31,432.284,574.12,9,2025,
METTUR TPS,840.0,365.3567,0,0,0.0,0.0,0.0,365.3567,328.222,207.745,9,2025,
METTUR TPS - II,600.0,206.15,0,0,0.0,24.992,0.0,231.142,262.92,129.59,9,2025,
MUTHIARA TPP,1200.0,71.351,0,0,0.0,219.473,0.0,290.824,274.382,220.79,9,2025,
NORTH CHENNAI TPS,1830.0,691.016,0,0,0.0,4.292,0.0,695.308,680.663,265.923,9,2025,
NTPL TUTICORIN  TPP,1000.0,0,0,344.877,0.0,81.668,0.0,426.545,388.525,315.31,9,2025,
OPG Power Generation Private Limited,414.0,61.175,0,0,0.0,71.094,0.0,132.269,132.55200000000002,94.24,9,2025,
PAINAMPURAM TPP,1320.0,343.808,0,0,0.0,45.223,0.0,389.031,516.998,356.72400000000005,9,2025,
RAICHUR TPS,1720.0,287.29947000000004,152.396,0,0.0,0.0,0.0,439.69547,512.164,347.2,9,2025,
RAMAGUNDEM STPS,2600.0,3.95,413.82,0,0.0,0.0,4.13,421.9,549.522,643.28,9,2025,
RAYALASEEMA TPS,1650.0,416.99899999999997,107.317,0,0.0,0.0,0.0,524.3159999999999,611.862,194.41,9,2025,
SGPL TPP,1320.0,337.844,0,0,0.0,110.782,0.0,448.626,533.542,435.813,9,2025,
SIMHADRI,2000.0,717.2,0,23.12,0.0,0.0,0.13,740.45,733.057,605.71,9,2025,
SIMHAPURI TPS,600.0,0,0,0,0.0,108.51,0.0,108.51,138.1,202.631,9,2025,
SINGARENI TPP,1200.0,0,461.883,0,0.0,0.0,0.0,461.883,445.503,87.04,9,2025,
TELANGANA STPP PH-1,1600.0,34.51,158.98,79.8,0.0,0.0,3.88,277.16999999999996,410.892,377.55,9,2025,
THAMMINAPATNAM TPS,1000.0,20.3854,0,0,0.0,92.30342,0.0,112.68882,133.38989999999998,69.99000000000001,9,2025,
TORANGALLU TPS(SBU-I),260.0,0,0,0,0.0,36.98,0.0,36.98,36.98,0.0,9,2025,
TORANGALLU TPS(SBU-II),600.0,0,0,0,0.0,54.35,0.0,54.35,53.99,2.98,9,2025,
TUTICORIN TPP ST-IV,525.0,0,0,0,0.0,121.541,0.0,121.541,135.713,3.47,9,2025,
TUTICORIN TPS,1050.0,244.929,0,0,0.0,0.0,0.0,244.929,242.093,317.69,9,2025,
VALLUR TPP,1500.0,504.309,0,0,0.0,0.0,0.0,504.309,621.08,477.39,9,2025,
VIZAG TPP,1040.0,341.96075,0,0,0.0,0.0,0.0,341.96075,321.843,156.8907,9,2025,
YADADRI TPS,1600.0,0,380.395,0,0.0,0.0,0.0,380.395,429.236,319.373,9,2025,
YERMARUS TPP,1600.0,0,40.291,0,0.0,55.87471,0.0,96.16570999999999,301.641,184.484,9,2025,
BAKRESWAR TPS,1050.0,0,0,417.29,0.0,0.0,0.0,417.29,409.234,78.578,9,2025,
BANDEL TPS,270.0,0,0,127.565,0.0,0.0,0.0,127.565,103.161,68.958,9,2025,
BARAUNI TPS,500.0,85.89,0,155.33,0.0,0.0,3.83,245.05000000000004,217.086,109.52,9,2025,
BARH  STPS,3300.0,397.11,0,437.26,0.0,0.0,4.21,838.58,1115.92,556.64,9,2025,
BOKARO TPS `A` EXP,500.0,146.81,0,21.664,0.0,0.0,0.0,168.474,175.811,82.16,9,2025,
BUDGE BUDGE TPS,750.0,105.985,0,105.687,54.345,0.0,0.0,266.017,289.133,102.01,9,2025,
CHANDRAPURA(DVC) TPS,500.0,92.673,0,38.859,0.0,0.0,0.0,131.532,177.485,157.23,9,2025,
DARLIPALI STPS,1600.0,0,0,597.62,0.0,0.0,0.0,597.62,669.705,453.89,9,2025,
DERANG TPP,1200.0,526.131,0,0,15.135,0.0,0.0,541.266,529.522,1015.68,9,2025,
D.P.L. TPS,550.0,199.37099999999998,0,3.591,0.0,0.0,0.0,202.962,169.373,96.697,9,2025,
DURGAPUR STEEL TPS,1000.0,195.725,0,7.459,0.0,0.0,0.0,203.184,298.878,131.27,9,2025,
FARAKKA STPS,2100.0,560.26,0,88.08,0.0,0.0,0.0,648.34,703.229,207.89,9,2025,
HALDIA TPP,600.0,272.933,0,0,0.0,0.0,0.0,272.933,280.934,109.69,9,2025,
HIRANMAYE TPP,300.0,117.057,0,0,0.0,0.0,0.0,117.057,115.266,232.63,9,2025,
IB VALLEY TPS,1740.0,65.247,0,428.03,0.0,0.0,0.0,493.277,372.06,477.4,9,2025,
JOJOBERA TPS,240.0,80.00460000000001,0,0,0.0,0.0,0.0,80.00460000000001,105.1205,125.36,9,2025,
JSW Energy Utkal Limited,700.0,0,0,0,246.614,0.0,0.0,246.614,176.187,182.62,9,2025,
KAHALGAON TPS,2340.0,984.94,0,22.44,0.0,0.0,0.0,1007.3800000000001,986.169,615.98,9,2025,
KAMALANGA TPS,1050.0,279.043,0,0,136.864,0.0,0.0,415.90700000000004,532.342,222.24,9,2025,
KODARMA TPP,1000.0,262.139,0,88.32,0.0,0.0,0.0,350.459,360.882,165.22,9,2025,
KOLAGHAT TPS,840.0,0,0,366.135,0.0,0.0,0.0,366.135,348.034,97.446,9,2025,
Maadurga Thermal Power Company Ltd. ,60.0,18.72,0,0,0.0,0.0,3.8,22.52,24.96,14.64,9,2025,
