Name of TPS,Installed Capacity (MW),CIL,SSCL,Captive,E-Auction,Import,Others,Total,Total Consumption,Closing Stocks,Month,Year,SCCL
ADANI POWER LIMITED KAWAI TPP,1320.0,329.55400000000003,0,0,0.0,106.213,0.0,435.76700000000005,506.225,89.13,1,2024,
ANPARA C TPS,1200.0,324.7,0,0,0.0,0.0,0.0,324.7,348.84,362.62,1,2024,
ANPARA TPS,2630.0,1041.233,0,0,0.0,0.0,0.0,1041.233,908.531,875.82,1,2024,
BARKHERA TPS,90.0,38.64,0,0,0.0,0.0,0.0,38.64,30.93,31.26,1,2024,
CHHABRA-II TPP,1320.0,232.495,148.373,0,0.0,0.0,0.0,380.868,387.09000000000003,79.132,1,2024,
CHHABRA-I PH-1 TPP,500.0,346.13,0,0,0.0,0.0,0.0,346.13,221.91,560.23,1,2024,
CHHABRA-I PH-2 TPP,500.0,89.8,0,0,0.0,0.0,0.0,89.8,218.49,0.0,1,2024,
DADRI (NCTPP),1820.0,379.48999999999995,0,75.62,0.0,202.99,0.0,658.1,675.518,207.863,1,2024,
GH TPS (LEH.MOH.),920.0,0,0,249.424,0.0,0.0,0.0,249.424,276.807,260.69,1,2024,
GOINDWAL SAHIB TPP,540.0,171.3264,0,0,0.0,0.0,0.0,171.3264,169.8496,25.86,1,2024,
HARDUAGANJ TPS,1265.0,433.596,0,0,0.0,0.0,0.0,433.596,492.017,178.14,1,2024,
INDIRA GANDHI STPP,1500.0,593.6809999999999,0,0,0.0,0.0,0.0,593.6809999999999,505.306,477.19,1,2024,
KALISINDH TPS,1200.0,289.356,0,50.965,0.0,0.0,0.0,340.321,369.987,81.13,1,2024,
KHAMBARKHERA TPS,90.0,34.81,0,0,0.0,0.0,0.0,34.81,21.97,28.56,1,2024,
KOTA TPS,1240.0,527.55328,0,0,0.0,0.0,0.0,527.55328,560.1368,79.42,1,2024,
KUNDARKI TPS,90.0,12.01,0,0,0.0,0.0,0.0,12.01,15.36,38.34,1,2024,
LALITPUR TPS,1980.0,697.296,0,0,0.0,0.0,0.0,697.296,638.729,426.15,1,2024,
MAHATMA GANDHI TPS,1320.0,499.10799999999995,0,0,0.0,11.937,0.0,511.04499999999996,554.674,190.20000000000002,1,2024,
MAQSOODPUR TPS,90.0,31.24,0,0,0.0,0.0,0.0,31.24,26.44,24.53,1,2024,
MEJA STPP,1320.0,571.8332,0,0,0.0,0.0,0.0,571.8332,509.804,262.94,1,2024,
OBRA TPS,1000.0,348.106,0,0,0.0,0.0,0.0,348.106,341.428,119.83,1,2024,
PANIPAT TPS,710.0,229.745,0,0,0.0,0.0,0.0,229.745,308.404,223.69,1,2024,
PARICHHA TPS,920.0,289.31,0,0,0.0,0.0,0.0,289.31,248.719,252.845,1,2024,
PRAYAGRAJ TPP,1980.0,758.881,0,0,0.0,0.0,0.0,758.881,674.2271,434.8299,1,2024,
RAJIV GANDHI TPS,1200.0,304.14599999999996,0,0,0.0,0.0,0.0,304.14599999999996,252.518,302.374,1,2024,
RAJPURA TPP,1400.0,499.9509,0,0,0.0,0.0,0.0,499.9509,554.261,283.72,1,2024,
RIHAND STPS,3000.0,1152.72,0,0,0.0,0.0,0.0,1152.72,1107.112,1130.465,1,2024,
ROPAR TPS,840.0,120.47879,0,154.43124,0.0,0.0,0.0,274.91003,265.419,315.36,1,2024,
ROSA TPP Ph-I,1200.0,467.034,0,0,0.0,0.0,0.0,467.034,423.631,108.06,1,2024,
SINGRAULI STPS,2000.0,785.4,0,0,0.0,0.0,0.0,785.4,841.172,342.86,1,2024,
SURATGARH STPS,1320.0,163.93346,0,0,0.0,0.0,0.0,163.93346,214.562,74.37,1,2024,
SURATGARH TPS,1500.0,322.806,0,0,0.0,0.0,0.0,322.806,54.254,360.08,1,2024,
TALWANDI SABO TPP,1980.0,568.499,0,0,0.0,0.0,0.0,568.499,571.708,111.36,1,2024,
TANDA TPS,1760.0,437.24,0,195.11,0.0,105.83,0.0,738.1800000000001,504.112,508.63300000000004,1,2024,
UNCHAHAR TPS,1550.0,364.71,0,126.58,0.0,51.321,0.0,542.611,446.549,320.53499999999997,1,2024,
UTRAULA TPS,90.0,11.64,0,0,0.0,0.0,0.0,11.64,21.34,41.47,1,2024,
YAMUNA NAGAR TPS,600.0,235.561,0,0,0.0,0.0,0.0,235.561,260.187,149.9,1,2024,
ADANI POWER LIMITED MUNDRA TPP - III,1980.0,0,0,0,0.0,518.705,0.0,518.705,593.005,22.995,1,2024,
ADANI POWER LIMITED MUNDRA TPP - I & II,2640.0,0,0,0,0.0,663.526,0.0,663.526,753.007,17.405,1,2024,
ADANI POWER LIMITED RAIGARH TPP,600.0,130.426,0,0,0.0,10.789,3.892,145.10699999999997,287.893,77.77,1,2024,
ADANI POWER LIMITED RAIPUR TPP,1370.0,382.827,0,0,11.911,0.0,98.537,493.275,483.84499999999997,402.43,1,2024,
ADANI POWER LIMITED TIRODA TPP,3300.0,1185.597,0,0,0.0,0.0,0.0,1185.597,1061.045,909.65,1,2024,
AKALTARA TPS,1800.0,664.2183,0,0,33.9862,0.0,0.0,698.2045,669.597,311.88,1,2024,
AMARKANTAK EXT TPS,210.0,98.806,0,0,0.0,0.0,0.0,98.806,93.774,36.308,1,2024,
AMRAVATI TPS,1350.0,573.106,0,0,4.752,0.0,0.0,577.858,542.637,251.44,1,2024,
ANUPPUR TPP,1250.0,354.45000000000005,0,0,143.07,0.0,0.0,497.52000000000004,526.14,317.24,1,2024,
BALCO TPS,600.0,155.99,0,0,70.16,0.0,0.0,226.15,230.879,116.93,1,2024,
BANDAKHAR TPP,300.0,132.497,0,0,18.301,0.0,0.0,150.798,139.713,65.28,1,2024,
BARADARHA TPS,1200.0,276.081,0,0,293.639,0.0,0.0,569.72,541.914,148.44,1,2024,
BELA TPS,270.0,64.854,0,0,47.814,0.0,0.0,112.668,105.512,61.99,1,2024,
BHILAI TPS,500.0,254.936,16.415,0,0.0,18.777,0.0,290.128,240.003,188.88,1,2024,
BHUSAWAL TPS,1210.0,487.59999999999997,0,0,0.0,66.66,0.0,554.26,490.408,331.2588,1,2024,
BINA TPS,500.0,129.23000000000002,0,0,98.62,0.0,0.0,227.85000000000002,206.35,101.92,1,2024,
BINJKOTE TPP,600.0,88.291,0,0,145.00900000000001,0.0,0.0,233.3,280.991,137.04,1,2024,
CHAKABURA TPP,30.0,5,0,0,0.0,0.0,76.364,81.364,63.431,47.83,1,2024,
CHANDRAPUR(MAHARASHTRA) STPS,2920.0,1032.542,69.79,0,0.0,126.272,0.0,1228.6039999999998,1089.795,554.89,1,2024,
DAHANU TPS,500.0,216.129,0,0,0.0,0.0,0.0,216.129,118.29,109.58,1,2024,
DHARIWAL TPP,600.0,228.396,0,0,43.212,0.0,0.0,271.608,250.787,182.47,1,2024,
DSPM TPS,500.0,315.008,0,0,0.0,0.0,0.0,315.008,233.208,382.21,1,2024,
GADARWARA TPP,1600.0,273.34999999999997,8.17,125.56,0.0,0.0,0.0,407.08,612.885,157.35600000000002,1,2024,
GANDHI NAGAR TPS,630.0,147.12,0,0,0.0,15.789,0.0,162.909,192.842,204.7,1,2024,
GMR WARORA TPS,600.0,112.60399999999998,0,0,127.638,0.0,0.0,240.242,171.653,82.695,1,2024,
JSW RATNAGIRI TPP,300.0,0,0,0,0.0,125.0,0.0,125.0,72.3,58.11,1,2024,
KASAIPALLI TPP,270.0,38.1592,0,0,0.0,0.0,184.0,222.1592,115.73,66.0938,1,2024,
KHAPARKHEDA TPS,1340.0,542.9639999999999,0,0,0.0,41.334,0.0,584.298,582.4870000000001,178.34,1,2024,
KHARGONE STPP,1320.0,397.94000000000005,16.3,108.64999999999999,0.0,69.07,0.0,591.96,482.591,444.2,1,2024,
KORADI TPS,2190.0,984.7710000000001,7.772,0,0.0,0.0,0.0,992.5430000000001,947.083,340.324,1,2024,
KORBA STPS,2600.0,1251.77,0,0,0.0,0.0,0.0,1251.77,1143.11,341.866,1,2024,
KORBA-WEST TPS,1340.0,613.123,0,0,0.0,0.0,0.0,613.123,585.448,211.945,1,2024,
LARA TPP,1600.0,11.11,0,667.67,0.0,0.0,0.0,678.78,757.012,455.74,1,2024,
MAHAN TPP,1200.0,100.38600000000001,0,0,0.0,0.0,250.19,350.576,419.553,316.6,1,2024,
MARWA TPS,1000.0,152.51,0,385.204,0.0,0.0,0.0,537.7139999999999,413.614,380.35,1,2024,
MAUDA TPS,2320.0,871.44,69.53,0,0.0,147.07,0.0,1088.04,1006.8480000000001,562.7180000000001,1,2024,
MUNDRA UMTPP,4000.0,0,0,0,0.0,517.488,0.0,517.488,760.806,442.75,1,2024,
NASIK TPS,630.0,201.538,0,0,0.0,23.212,0.0,224.75,198.071,154.16,1,2024,
NAWAPARA TPP,600.0,280.89,0,0,10.58,0.0,0.0,291.46999999999997,211.77,270.88,1,2024,
NIGRI TPP,1320.0,0,0,389.3112,138.1584,0.0,0.0,527.4696,478.102,345.6475,1,2024,
NIWARI TPP,90.0,25.09,0,0,0.0,0.0,17.52,42.61,40.62,79.62,1,2024,
OP JINDAL TPS,1000.0,0,0,0,303.828,0.0,38.92,342.748,451.063,253.62300000000002,1,2024,
PARAS TPS,500.0,237.625,0,0,0.0,0.0,0.0,237.625,242.553,70.6,1,2024,
PARLI TPS,750.0,59.823,190.796,0,0.0,0.0,0.0,250.619,270.106,77.21,1,2024,
PATHADI TPP,600.0,217.89000000000001,0,0,0.0,0.0,0.0,217.89000000000001,239.06,194.98,1,2024,
RATIJA TPS,100.0,5,0,0,0.0,0.0,73.452,78.452,77.348,23.41,1,2024,
SABARMATI (D-F STATIONS),362.0,100.69,0,0,0.0,27.372,0.0,128.062,142.4289,109.05,1,2024,
SALAYA TPP,1200.0,0,0,0,0.0,124.617,0.0,124.617,77.097,66.36,1,2024,
SANJAY GANDHI TPS,1340.0,597.158,0,0,0.0,0.0,0.0,597.158,466.06,247.06,1,2024,
SASAN UMTPP,3960.0,0,0,1535.672,0.0,0.0,0.0,1535.672,1598.591,145.03,1,2024,
SATPURA TPS,1330.0,209.892,0,0,0.0,0.0,0.0,209.892,227.35,80.12,1,2024,
SEIONI TPP,600.0,136.97899999999998,0,0,158.626,0.0,0.0,295.605,269.778,48.74,1,2024,
SHIRPUR TPP,300.0,0,0,0,0.0,0.0,47.964,47.964,22.857,61.86,1,2024,
SHREE SINGAJI TPP,2520.0,1048.4650000000001,0,0,0.0,0.0,0.0,1048.4650000000001,1060.476,304.68,1,2024,
SIKKA REP. TPS,500.0,0,0,0,0.0,95.224,0.0,95.224,81.419,69.14,1,2024,
SIPAT STPS,2980.0,1518.82,0,0,0.0,0.0,0.0,1518.82,1359.122,394.448,1,2024,
SOLAPUR STPS,1320.0,236.75,195.14,7.390000000000001,0.0,106.43,0.0,545.7099999999999,393.291,453.73199999999997,1,2024,
SVPL TPP,63.0,8.7622,0,0,0.0,0.0,38.499,47.2612,53.096,37.29,1,2024,
TAMNAR TPP,2400.0,310.263,0,0,708.542,19.406,104.212,1142.423,1176.712,157.902,1,2024,
TROMBAY TPS,750.0,0,0,0,0.0,264.24295,0.0,264.24295,228.915,204.972,1,2024,
UCHPINDA TPP,1440.0,172.11,0,0,281.683,0.0,0.0,453.793,353.601,583.25,1,2024,
UKAI TPS,1110.0,316.173,0,0,0.0,20.082,0.0,336.255,333.23699999999997,372.32000000000005,1,2024,
VINDHYACHAL STPS,4760.0,2030.59,0,0,0.0,0.0,0.0,2030.59,2018.102,1068.384,1,2024,
WANAKBORI TPS,2270.0,709.825,0,0,0.0,36.201,0.0,746.0260000000001,884.587,227.75,1,2024,
WARDHA WARORA TPP,540.0,144.65,0,0,10.43,0.0,22.3,177.38000000000002,241.95,87.5,1,2024,
ADANI POWER LIMITED UDUPI TPP,1200.0,0,0,0,0.0,300.519,0.0,300.519,311.867,48.14,1,2024,
BELLARY TPS,1700.0,194.57527,178.40407,228.45509,0.0,0.0,0.0,601.43443,556.862,130.7791,1,2024,
BHADRADRI TPP,1080.0,0,406.281,0,0.0,0.0,0.0,406.281,462.164,89.798,1,2024,
DAMODARAM SANJEEVAIAH TPS,2400.0,386.16072,0,0,0.0,0.0,0.0,386.16072,353.989,120.46,1,2024,
Dr. N.TATA RAO TPS,2560.0,646.9870000000001,330.506,0,0.0,0.0,0.0,977.493,1005.887,95.48,1,2024,
ITPCL TPP,1200.0,0,0,0,0.0,434.069,0.0,434.069,431.422,122.44,1,2024,
KAKATIYA TPS,1100.0,0,419.652,0,0.0,0.0,0.0,419.652,410.27,319.063,1,2024,
KOTHAGUDEM TPS (NEW),1000.0,0,392.924,0,0.0,0.0,0.0,392.924,410.05,143.463,1,2024,
KOTHAGUDEM TPS (STAGE-7),800.0,0,247.036,0,0.0,0.0,0.0,247.036,249.947,90.666,1,2024,
KUDGI STPP,2400.0,224.5,390.74,92.11,0.0,109.556,0.0,816.9060000000001,732.255,472.129,1,2024,
METTUR TPS,840.0,369.2059,159.7973,0,0.0,0.0,0.0,529.0032,406.045,182.398,1,2024,
METTUR TPS - II,600.0,226.49,100.22,0,0.0,0.0,0.0,326.71000000000004,234.28,150.66,1,2024,
MUTHIARA TPP,1200.0,0,0,0,0.0,318.26,0.0,318.26,327.055,173.14,1,2024,
NORTH CHENNAI TPS,1830.0,932.895,0,0,0.0,0.0,0.0,932.895,885.338,287.988,1,2024,
NTPL TUTICORIN  TPP,1000.0,131.661,0,229.259,0.0,0.0,0.0,360.91999999999996,344.734,266.816,1,2024,
PAINAMPURAM TPP,1320.0,456.071,0,0,0.0,121.185,0.0,577.2560000000001,532.422,290.37,1,2024,
RAICHUR TPS,1720.0,423.6,361.863,0,0.0,0.0,0.0,785.463,696.476,369.35,1,2024,
RAMAGUNDEM-B TPS,62.5,0,26.293,0,0.0,0.0,0.0,26.293,27.5,6.269,1,2024,
RAMAGUNDEM STPS,2600.0,0,1039.4,0,0.0,0.0,0.0,1039.4,991.279,484.095,1,2024,
RAYALASEEMA TPS,1650.0,658.411,113.388,0,0.0,0.0,0.0,771.799,760.047,57.556,1,2024,
SGPL TPP,1320.0,188.611,0,0,0.0,191.76,0.0,380.371,396.335,409.95,1,2024,
SIMHADRI,2000.0,694.4,31.9,7.89,0.0,119.43,0.0,853.62,871.8059999999999,229.539,1,2024,
SIMHAPURI TPS,600.0,0,0,0,0.0,213.98,0.0,213.98,182.33,136.01,1,2024,
SINGARENI TPP,1200.0,0,509.109,0,0.0,0.0,0.0,509.109,495.554,173.31,1,2024,
TELANGANA STPP PH-1,800.0,0,242.53,0,0.0,0.0,0.0,242.53,263.196,175.913,1,2024,
TORANGALLU TPS(SBU-I),260.0,0,0,0,0.0,29.89,0.0,29.89,29.89,0.0,1,2024,
TORANGALLU TPS(SBU-II),600.0,0,0,0,0.0,100.44,0.0,100.44,83.96,48.55,1,2024,
TUTICORIN TPP ST-IV,525.0,0,0,0,0.0,144.0,0.0,144.0,154.14,3.06,1,2024,
TUTICORIN TPS,1050.0,394.989,0,0,0.0,0.0,0.0,394.989,438.34,173.77,1,2024,
VALLUR TPP,1500.0,533.5459999999999,76.3,0,0.0,0.0,0.0,609.8459999999999,219.272,481.26,1,2024,
VIZAG TPP,1040.0,243.10645,0,0,0.0,72.45248,0.0,315.55893,302.669,130.2077,1,2024,
YERMARUS TPP,1600.0,0,269.518,0,0.0,34.792,0.0,304.30999999999995,313.005,282.274,1,2024,
BAKRESWAR TPS,1050.0,0,0,449.136,0.0,0.0,0.0,449.136,496.436,67.72,1,2024,
BANDEL TPS,270.0,3.86,0,53.34,0.0,0.0,0.0,57.2,39.915,25.82,1,2024,
BARAUNI TPS,710.0,15.34,0,145.04,0.0,0.0,0.0,160.38,212.661,113.406,1,2024,
BARH  STPS,2640.0,521.581,0,390.27,0.0,87.686,0.0,999.537,767.95,677.219,1,2024,
BOKARO TPS `A` EXP,500.0,252.729,0,3.751,0.0,6.631,0.0,263.111,199.159,181.57,1,2024,
BUDGE BUDGE TPS,750.0,101.487,0,34.919,117.376,0.0,0.0,253.782,187.966,180.55,1,2024,
CHANDRAPURA(DVC) TPS,500.0,230.109,0,103.038,0.0,11.685,0.0,344.832,226.16690000000003,219.76000000000002,1,2024,
DARLIPALI STPS,1600.0,0,0,916.24,0.0,0.0,0.0,916.24,947.93,303.4001,1,2024,
DERANG TPP,1200.0,232.038,0,0,401.192,0.0,0.0,633.23,578.513,720.32,1,2024,
DISHERGARH TPP,12.0,4.016,0,0,0.0,0.0,0.0,4.016,8.25,0.63,1,2024,
D.P.L. TPS,550.0,68.73,0,0,0.0,0.0,29.64,98.37,71.25,106.54,1,2024,
DURGAPUR STEEL TPS,1000.0,370.43999999999994,0,4.058,0.0,15.145,0.0,389.6429999999999,257.514,354.19,1,2024,
FARAKKA STPS,2100.0,823.58,0,0,0.0,30.637,0.0,854.2170000000001,671.364,594.19,1,2024,
HALDIA TPP,600.0,271.421,0,0,0.0,0.0,0.0,271.421,253.414,192.83,1,2024,
HIRANMAYE TPP,300.0,132.019,0,0,0.0,0.0,0.0,132.019,125.858,31.01,1,2024,
IB VALLEY TPS,1740.0,191.1794,0,633.0721,0.0,0.0,0.0,824.2515,824.972,360.83,1,2024,
JOJOBERA TPS,240.0,84.37700000000001,0,0,0.0,0.0,4.5286,88.9056,87.244,64.57,1,2024,
KAHALGAON TPS,2340.0,1122.4,0,0,0.0,50.151,0.0,1172.5510000000002,1210.629,469.226,1,2024,
KAMALANGA TPS,1050.0,374.23,0,0,88.587,0.0,0.0,462.817,362.964,232.46,1,2024,
KODARMA TPP,1000.0,435.773,4.086,0,0.0,15.004,0.0,454.86300000000006,395.72900000000004,242.27,1,2024,
KOLAGHAT TPS,840.0,72.343,0,372.416,0.0,0.0,0.0,444.759,440.7,42.77,1,2024,
MAHADEV PRASAD STPP,540.0,122.08099999999999,0,0,0.0,0.0,76.309,198.39,235.605,27.44,1,2024,
MAITHON RB TPP,1050.0,394.53299999999996,0,0,0.0,0.0,0.0,394.53299999999996,432.695,423.96,1,2024,
MEJIA TPS,2340.0,888.9190000000001,0,113.01,0.0,47.852,0.0,1049.7810000000002,953.8469,415.87,1,2024,
MUZAFFARPUR TPS,390.0,16.052,0,149.927,0.0,0.0,0.0,165.97899999999998,143.822,124.4,1,2024,
NABINAGAR STPP,1980.0,559.58,0,160.04,0.0,125.415,0.0,845.035,481.807,640.0,1,2024,
NABINAGAR TPP,1000.0,398.1636,0,0,0.0,7.691,0.0,405.85459999999995,390.941,115.58,1,2024,
NORTH KARANPURA TPP,660.0,113.03,0,168.34,0.0,0.0,0.0,281.37,346.51,98.524,1,2024,
RAGHUNATHPUR TPP,1200.0,453.097,0,0,0.0,18.426,0.0,471.52299999999997,416.018,196.923,1,2024,
SAGARDIGHI TPS,1600.0,17.434,0,597.049,0.0,0.0,0.0,614.483,688.429,173.955,1,2024,
SANTALDIH TPS,500.0,52.243,0,165.344,0.0,0.0,0.0,217.587,223.101,78.75,1,2024,
SOUTHERN REPL. TPS,135.0,15.73,0,0,16.091,0.0,0.0,31.821,23.677,34.14,1,2024,
TALCHER STPS,3000.0,1420.99,0,0,0.0,0.0,0.0,1420.99,1262.642,729.5879,1,2024,
TENUGHAT TPS,420.0,198.77,0,0,0.0,0.0,0.0,198.77,179.48,55.27,1,2024,
VEDANTA TPP,600.0,299.64,0,0,0.0,0.0,0.0,299.64,208.75,193.22,1,2024,
BONGAIGAON TPP,750.0,132.6,0,212.34,0.0,7.822,0.0,352.762,248.355,209.813,1,2024,
ADANI POWER LIMITED KAWAI TPP,1320.0,355.635,0,0,0.0,71.781,0.0,427.416,411.61,104.94,2,2024,
ANPARA C TPS,1200.0,302.16,0,0,0.0,0.0,0.0,302.16,451.39,213.39,2,2024,
ANPARA TPS,2630.0,995.262,0,0,0.0,0.0,0.0,995.262,864.307,1006.77,2,2024,
BARKHERA TPS,90.0,49.669,0,0,0.0,0.0,0.0,49.669,16.997,63.53,2,2024,
CHHABRA-II TPP,1320.0,247.08015,0,224.10408,0.0,0.0,0.0,471.18423,362.167,188.149,2,2024,
CHHABRA-I PH-1 TPP,500.0,277.3,0,0,0.0,0.0,0.0,277.3,199.07,110.06,2,2024,
CHHABRA-I PH-2 TPP,500.0,189.59,0,7.8,0.0,0.0,0.0,197.39000000000001,202.33,0.0,2,2024,
DADRI (NCTPP),1820.0,438.31,0,141.99,0.0,118.38,0.0,698.6800000000001,516.757,393.8,2,2024,
GH TPS (LEH.MOH.),920.0,49.826,0,219.657,0.0,0.0,0.0,269.483,254.199,290.39,2,2024,
GOINDWAL SAHIB TPP,540.0,158.23044,0,0,0.0,0.0,0.0,158.23044,147.5284,36.56,2,2024,
HARDUAGANJ TPS,1265.0,475.61699999999996,0,0,0.0,0.0,0.0,475.61699999999996,424.155,229.6,2,2024,
INDIRA GANDHI STPP,1500.0,447.29100000000005,91.897,0,0.0,0.0,0.27,539.4580000000001,344.575,672.0699999999999,2,2024,
KALISINDH TPS,1200.0,91.16900000000001,0,302.793,0.0,0.0,0.0,393.962,353.443,121.65,2,2024,
KHAMBARKHERA TPS,90.0,23.666,0,0,0.0,0.0,0.0,23.666,6.474,45.56,2,2024,
KOTA TPS,1240.0,525.39037,0,0,0.0,0.0,0.0,525.39037,470.8372,133.95,2,2024,
KUNDARKI TPS,90.0,7.8,0,0,0.0,0.0,0.0,7.8,17.32,28.76,2,2024,
LALITPUR TPS,1980.0,694.688,0,0,0.0,0.0,0.0,694.688,486.845,628.42,2,2024,
MAHATMA GANDHI TPS,1320.0,582.854,0,0,0.0,35.267,0.0,618.1210000000001,340.552,472.242,2,2024,
MAQSOODPUR TPS,90.0,65.823,0,0,0.0,0.0,0.0,65.823,13.22,76.6,2,2024,
MEJA STPP,1320.0,599.1500000000001,0,0,0.0,0.0,0.0,599.1500000000001,456.697,402.39,2,2024,
OBRA TPS,1000.0,413.17,0,0,0.0,0.0,0.0,413.17,230.447,238.23,2,2024,
PANIPAT TPS,710.0,273.709,0,0,0.0,0.0,0.0,273.709,221.986,275.41,2,2024,
PARICHHA TPS,920.0,293.51,0,0,0.0,0.0,0.0,293.51,324.281,222.074,2,2024,
PRAYAGRAJ TPP,1980.0,677.606,0,0,0.0,0.0,0.0,677.606,449.2593,633.18,2,2024,
RAJIV GANDHI TPS,1200.0,374.884,0,0,0.0,0.0,0.0,374.884,184.644,492.614,2,2024,
RAJPURA TPP,1400.0,509.344,0,0,0.0,0.0,0.0,509.344,377.2086,415.86,2,2024,
RIHAND STPS,3000.0,990.14,0,0,0.0,0.0,0.0,990.14,1018.782,1100.124,2,2024,
ROPAR TPS,840.0,105.06358,0,202.11618,0.0,0.0,0.0,307.17976,232.209,441.42,2,2024,
ROSA TPP Ph-I,1200.0,454.949,0,0,0.0,0.0,0.0,454.949,371.206,191.8,2,2024,
SINGRAULI STPS,2000.0,840.68,0,0,0.0,0.0,0.0,840.68,731.752,453.162,2,2024,
SURATGARH STPS,1320.0,210.73603,0,0,0.0,0.0,0.0,210.73603,181.3955,103.71,2,2024,
SURATGARH TPS,1500.0,578.9540000000001,0,11.729,0.0,0.0,0.0,590.6830000000001,837.23,113.53,2,2024,
TALWANDI SABO TPP,1980.0,604.8399999999999,0,0,0.0,0.0,0.0,604.8399999999999,509.401,206.58,2,2024,
TANDA TPS,1760.0,427.22,0,174.66,0.0,16.33,0.0,618.21,574.6659999999999,550.557,2,2024,
UNCHAHAR TPS,1550.0,326.84,0,173.6,0.0,39.908,0.0,540.348,330.671,496.25600000000003,2,2024,
UTRAULA TPS,90.0,30.878,0,0,0.0,0.0,0.0,30.878,28.04,44.065,2,2024,
YAMUNA NAGAR TPS,600.0,277.135,0,0,0.0,0.0,0.0,277.135,258.02,169.01,2,2024,
ADANI POWER LIMITED MUNDRA TPP - III,1980.0,0,0,0,0.0,570.189,0.0,570.189,523.761,67.766,2,2024,
ADANI POWER LIMITED MUNDRA TPP - I & II,2640.0,0,0,0,0.0,685.554,0.0,685.554,660.121,40.629,2,2024,
ADANI POWER LIMITED RAIGARH TPP,600.0,217.531,0,0,15.157,0.0,0.0,232.68800000000002,227.359,83.1,2,2024,
ADANI POWER LIMITED RAIPUR TPP,1370.0,342.78499999999997,0,0,0.425,0.0,53.043,396.253,474.565,324.108,2,2024,
ADANI POWER LIMITED TIRODA TPP,3300.0,1040.767,0,0,0.0,0.0,0.0,1040.767,1187.287,763.13,2,2024,
AKALTARA TPS,1800.0,656.9519,0,0,0.0,0.0,0.0,656.9519,590.24,382.86,2,2024,
AMARKANTAK EXT TPS,210.0,125.21,0,0,0.0,0.0,0.0,125.21,87.315,73.19,2,2024,
AMRAVATI TPS,1350.0,497.76,0,0,5.512,0.0,0.0,503.272,586.108,168.6,2,2024,
ANUPPUR TPP,1250.0,395.57,0,0,85.58,0.0,0.0,481.15,282.52,515.87,2,2024,
BALCO TPS,600.0,99.87,0,0,8.8,0.0,0.0,108.67,166.9,58.7,2,2024,
BANDAKHAR TPP,300.0,104.057,0,0,9.055,0.0,0.0,113.112,92.884,85.51,2,2024,
BARADARHA TPS,1200.0,308.927,0,0,233.932,0.0,0.0,542.859,518.4009,172.9,2,2024,
BELA TPS,270.0,78.85,0,0,58.13,0.0,0.0,136.98,98.0,100.97,2,2024,
BHILAI TPS,500.0,252.878,4.048,0,0.0,46.451,0.0,303.377,119.437,364.45,2,2024,
BHUSAWAL TPS,1210.0,464.157,0,0,0.0,66.018,0.0,530.175,440.483,420.956,2,2024,
BINA TPS,500.0,121.59,0,0,91.65,0.0,0.0,213.24,207.73,107.43,2,2024,
BINJKOTE TPP,600.0,83.707,0,0,112.043,0.0,0.0,195.75,205.718,114.85,2,2024,
CHAKABURA TPP,30.0,2.63,0,0,0.0,0.0,94.126,96.756,68.146,76.44,2,2024,
CHANDRAPUR(MAHARASHTRA) STPS,2920.0,1003.4010000000001,32.298,0,0.0,115.235,0.0,1150.934,1033.959,671.86,2,2024,
DAHANU TPS,500.0,196.675,0,0,0.0,0.0,0.0,196.675,170.901,135.35,2,2024,
DHARIWAL TPP,600.0,214.3,0,0,9.56,0.0,0.0,223.86,245.569,160.76,2,2024,
DSPM TPS,500.0,135.108,0,0,0.0,0.0,0.0,135.108,240.554,276.046,2,2024,
GADARWARA TPP,1600.0,253.26,28.4,190.72,0.0,150.05,0.0,622.43,476.435,323.5,2,2024,
GANDHI NAGAR TPS,630.0,109.32573000000001,0,0,0.0,8.06,0.0,117.38573000000001,174.713,147.38,2,2024,
GMR WARORA TPS,600.0,154.026,0,0,87.786,0.0,0.0,241.812,237.436,85.26,2,2024,
JSW RATNAGIRI TPP,300.0,0,0,0,0.0,68.0,0.0,68.0,69.0,57.11,2,2024,
KASAIPALLI TPP,270.0,41.6772,0,0,0.0,0.0,156.4945,198.1717,85.36,88.96,2,2024,
KHAPARKHEDA TPS,1340.0,535.011,0,0,0.0,53.278,0.309,588.598,586.523,180.41,2,2024,
KHARGONE STPP,1320.0,436.76,44.97,20.18,0.0,60.79,0.0,562.6999999999999,406.331,596.031,2,2024,
KORADI TPS,2190.0,921.971,27.403,0,0.0,0.0,0.0,949.374,952.357,337.341,2,2024,
KORBA STPS,2600.0,1083.13,0,0,0.0,0.0,0.0,1083.13,950.573,474.32,2,2024,
KORBA-WEST TPS,1340.0,539.394,0,0,0.0,0.0,0.0,539.394,571.684,179.65,2,2024,
LARA TPP,1600.0,7.58,0,723.37,0.0,0.0,0.0,730.95,748.786,433.73,2,2024,
MAHAN TPP,1200.0,175.54000000000002,0,0,0.0,0.0,230.724,406.264,335.85,387.01,2,2024,
MARWA TPS,1000.0,232.698,0,248.041,0.0,0.0,0.0,480.73900000000003,452.2,408.89,2,2024,
MAUDA TPS,2320.0,713.77,32.72,0,0.0,113.45,0.0,859.94,890.852,529.642,2,2024,
